数据规模,分布类型,排序算法,总时间(ms),排序时间(ms),NMS时间(ms),保留框数
100,Random,BubbleSort,0.15,0.02,0.13,91
100,Clustered,BubbleSort,0.13,0.02,0.11,91
100,Random,SelectionSort,0.13,0.01,0.12,91
100,Clustered,SelectionSort,0.12,0.01,0.11,91
100,Random,MergeSort,0.13,0.01,0.12,91
100,Clustered,MergeSort,0.12,0.01,0.11,91
100,Random,HeapSort,0.12,0.01,0.11,91
100,Clustered,HeapSort,0.12,0.01,0.11,91
100,Random,QuickSort,0.12,0.02,0.11,91
100,Clustered,QuickSort,0.11,0.00,0.11,91
500,Random,BubbleSort,4.08,0.41,3.67,378
500,Clustered,BubbleSort,3.64,0.41,3.23,446
500,Random,SelectionSort,2.65,0.21,2.44,378
500,Clustered,SelectionSort,3.16,0.20,2.95,446
500,Random,MergeSort,2.75,0.08,2.68,378
500,Clustered,MergeSort,2.83,0.05,2.77,446
500,Random,HeapSort,2.58,0.06,2.52,378
500,Clustered,HeapSort,2.85,0.06,2.79,446
500,Random,QuickSort,2.37,0.03,2.34,378
500,Clustered,QuickSort,2.73,0.03,2.70,446
1000,Random,BubbleSort,9.72,1.60,8.12,663
1000,Clustered,BubbleSort,11.91,1.51,10.40,864
1000,Random,SelectionSort,9.08,0.77,8.31,663
1000,Clustered,SelectionSort,11.09,0.77,10.32,864
1000,Random,MergeSort,8.47,0.12,8.35,663
1000,Clustered,MergeSort,10.51,0.12,10.39,864
1000,Random,HeapSort,8.91,0.12,8.79,663
1000,Clustered,HeapSort,10.70,0.13,10.57,864
1000,Random,QuickSort,9.18,0.07,9.11,663
1000,Clustered,QuickSort,10.51,0.07,10.44,864
5000,Random,BubbleSort,138.90,44.67,94.24,1707
5000,Clustered,BubbleSort,220.70,52.03,168.67,2960
5000,Random,SelectionSort,114.53,19.00,95.53,1707
5000,Clustered,SelectionSort,191.23,19.98,171.25,2960
5000,Random,MergeSort,94.57,0.79,93.78,1707
5000,Clustered,MergeSort,180.78,0.72,180.05,2960
5000,Random,HeapSort,94.01,0.80,93.22,1707
5000,Clustered,HeapSort,174.12,0.82,173.30,2960
5000,Random,QuickSort,93.75,0.41,93.34,1707
5000,Clustered,QuickSort,176.29,0.41,175.87,2960
10000,Random,BubbleSort,422.87,206.88,215.99,2269
10000,Clustered,BubbleSort,699.35,203.56,495.79,4586
10000,Random,SelectionSort,293.78,73.00,220.78,2269
10000,Clustered,SelectionSort,568.40,73.83,494.57,4586
10000,Random,MergeSort,213.41,1.31,212.10,2269
10000,Clustered,MergeSort,491.40,1.48,489.92,4586
10000,Random,HeapSort,222.56,1.75,220.81,2269
10000,Clustered,HeapSort,506.56,1.86,504.70,4586
10000,Random,QuickSort,224.26,0.98,223.28,2269
10000,Clustered,QuickSort,518.55,0.92,517.63,4586
